,dist_type,layer,pseudo-F,p-value
472,energy_unit,31,4.620551114835496,0.0001
473,energy_unit,32,5.530673124854544,0.0001
474,energy_unit,33,5.432313896601479,0.0001
475,energy_unit,34,5.514183311557671,0.0001
476,energy_unit,35,5.7664780485885805,0.0001
477,energy_unit,36,5.307859566089289,0.0001
478,energy_unit,37,5.25075416192024,0.0001
479,energy_unit,38,5.86296771455423,0.0001
480,energy_unit,39,5.644291126447091,0.0001
481,energy_unit,40,6.100426988010278,0.0001
482,energy_unit,41,5.938081130973313,0.0001
483,energy_unit,42,5.8108306863888055,0.0001
484,energy_unit,43,6.149946833703304,0.0001
485,energy_unit,44,5.890100615654445,0.0001
486,energy_unit,45,5.508762974152982,0.0001
487,energy_unit,46,5.794874336457182,0.0001
488,energy_unit,47,5.690569757745045,0.0001
489,energy_unit,48,5.618311097341212,0.0001
490,energy_unit,49,5.377858210105786,0.0001
491,energy_unit,50,5.344625160458609,0.0001
492,energy_unit,51,5.271332111022393,0.0001
493,energy_unit,52,5.226129106177585,0.0001
494,energy_unit,53,5.176601675196186,0.0001
495,energy_unit,54,5.082986592623696,0.0001
496,energy_unit,55,5.27754313361508,0.0001
497,energy_unit,56,5.57183942173028,0.0001
498,energy_unit,57,5.47841356524523,0.0001
499,energy_unit,58,5.598782853437364,0.0001
500,energy_unit,59,5.531837308105898,0.0001
501,energy_unit,60,5.516639188324523,0.0001
502,energy_unit,61,5.6618970281721746,0.0001
503,energy_unit,62,5.811142475377115,0.0001
